what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304761827509
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1304761827514
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1304761827527
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1304761827540
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304761829686
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304761831936
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1304761834209
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304761834209
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304761834982
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1304761835748
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304761843332
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1304761843332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761855274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761907223
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1304761907236
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1304761907236
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1304761925352
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304761927498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761939042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761989023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762010698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762016368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762022383
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1304762034082
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1304762034092
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1304762034094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762070202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762082909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762104649
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762108488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762110330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304762110339
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762111764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762112963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304762112975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762119154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762120382
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1304762120398
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1304762120398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762145229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762153526
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1304762153542
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304762161345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762180193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762185259
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304762194102
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304762194216
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304762195566
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304762195566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762218811
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762220491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762227251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762242610
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1304762245466
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1304762246517
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304762257333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762261500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762265718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762275464
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762276835
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304762276849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762280623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762286208
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762286241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762286344
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304762299526
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304762299644
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1304762311748
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304762320657
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304762335519
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762341007
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762386566
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1304762387851
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304762388082
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304762421876
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304762429818
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304762449733
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304762449836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762455242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762709067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304762741578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763029700
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304763029733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763033185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763068248
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763070949
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763089276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763090984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763102748
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1304763104432
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1304763112568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763112732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763148881
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304763156933
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304763157233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763162317
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763273563
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304763273591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763278608
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763280049
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763280081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763280192
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304763280312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763284069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763287146
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763287194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763289008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763298478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763422217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763423983
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763888492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304763890671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763890960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304763893947
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304763894094
